Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
102.97	40.000	690.99	0.0014472	-71.768	-65.980	3.4013	0.97761	2.2194	626.64	-0.0091430	75.563	0.10069	liquid
103.68	40.000	686.82	0.0014560	-70.208	-64.384	3.4168	0.97541	2.2332	618.66	-0.0076121	74.051	0.099378	liquid
104.40	40.000	682.60	0.0014650	-68.638	-62.778	3.4322	0.97328	2.2479	610.61	-0.0060031	72.569	0.098073	liquid
105.12	40.000	678.31	0.0014742	-67.059	-61.162	3.4476	0.97122	2.2634	602.49	-0.0043106	71.115	0.096770	liquid
105.83	40.000	673.96	0.0014838	-65.469	-59.534	3.4631	0.96925	2.2798	594.28	-0.0025285	69.687	0.095468	liquid
106.55	40.000	669.54	0.0014936	-63.868	-57.894	3.4785	0.96735	2.2973	585.99	-0.00065022	68.284	0.094167	liquid
107.27	40.000	665.04	0.0015037	-62.256	-56.241	3.4940	0.96554	2.3160	577.61	0.0013317	66.904	0.092867	liquid
107.98	40.000	660.47	0.0015141	-60.630	-54.574	3.5095	0.96381	2.3358	569.13	0.0034252	65.546	0.091568	liquid
108.70	40.000	655.81	0.0015248	-58.992	-52.893	3.5250	0.96218	2.3570	560.56	0.0056394	64.208	0.090269	liquid
109.42	40.000	651.06	0.0015359	-57.339	-51.195	3.5405	0.96066	2.3796	551.88	0.0079842	62.888	0.088970	liquid
110.13	40.000	646.22	0.0015474	-55.671	-49.481	3.5561	0.95923	2.4039	543.10	0.010471	61.586	0.087671	liquid
110.85	40.000	641.28	0.0015594	-53.987	-47.749	3.5718	0.95792	2.4299	534.19	0.013112	60.300	0.086370	liquid
111.57	40.000	636.24	0.0015717	-52.285	-45.998	3.5876	0.95673	2.4578	525.17	0.015922	59.028	0.085068	liquid
112.28	40.000	631.07	0.0015846	-50.564	-44.226	3.6034	0.95568	2.4880	516.01	0.018916	57.770	0.083764	liquid
113.00	40.000	625.78	0.0015980	-48.823	-42.431	3.6193	0.95477	2.5206	506.71	0.022113	56.522	0.082457	liquid
113.72	40.000	620.36	0.0016120	-47.060	-40.613	3.6354	0.95401	2.5559	497.27	0.025534	55.284	0.081147	liquid
114.43	40.000	614.80	0.0016266	-45.273	-38.767	3.6516	0.95342	2.5943	487.66	0.029202	54.055	0.079833	liquid
115.15	40.000	609.07	0.0016418	-43.461	-36.893	3.6679	0.95302	2.6362	477.89	0.033146	52.832	0.078514	liquid
115.87	40.000	603.17	0.0016579	-41.619	-34.988	3.6844	0.95282	2.6822	467.93	0.037396	51.614	0.077190	liquid
116.58	40.000	597.09	0.0016748	-39.747	-33.048	3.7011	0.95285	2.7327	457.77	0.041992	50.399	0.075859	liquid
117.30	40.000	590.80	0.0016926	-37.840	-31.069	3.7180	0.95314	2.7886	447.40	0.046978	49.184	0.074520	liquid
118.02	40.000	584.27	0.0017115	-35.895	-29.049	3.7352	0.95370	2.8508	436.80	0.052406	47.968	0.073173	liquid
118.73	40.000	577.50	0.0017316	-33.908	-26.982	3.7526	0.95459	2.9204	425.94	0.058341	46.748	0.071816	liquid
119.45	40.000	570.43	0.0017531	-31.873	-24.861	3.7704	0.95584	2.9989	414.79	0.064861	45.521	0.070447	liquid
120.17	40.000	563.04	0.0017761	-29.785	-22.681	3.7886	0.95751	3.0882	403.34	0.072062	44.283	0.069065	liquid
120.88	40.000	555.28	0.0018009	-27.635	-20.432	3.8073	0.95968	3.1907	391.53	0.080063	43.031	0.067668	liquid
121.60	40.000	547.10	0.0018278	-25.415	-18.103	3.8265	0.96244	3.3097	379.32	0.089018	41.760	0.066255	liquid
122.32	40.000	538.41	0.0018573	-23.112	-15.683	3.8463	0.96591	3.4500	366.66	0.099124	40.463	0.064824	liquid
123.03	40.000	529.14	0.0018899	-20.711	-13.152	3.8670	0.97028	3.6181	353.46	0.11064	39.135	0.063374	liquid
123.75	40.000	519.14	0.0019262	-18.193	-10.488	3.8886	0.97577	3.8236	339.65	0.12392	37.764	0.061903	liquid
124.47	40.000	508.27	0.0019675	-15.529	-7.6587	3.9114	0.98273	4.0816	325.10	0.13946	36.339	0.060414	liquid
125.18	40.000	496.26	0.0020151	-12.680	-4.6192	3.9357	0.99164	4.4162	309.66	0.15797	34.841	0.058912	liquid
125.90	40.000	482.76	0.0020714	-9.5864	-1.3008	3.9621	1.0033	4.8694	293.12	0.18052	33.244	0.057411	liquid
126.62	40.000	467.20	0.0021404	-6.1549	2.4068	3.9915	1.0189	5.5201	275.18	0.20882	31.508	0.055948	supercritical
127.33	40.000	448.55	0.0022294	-2.2211	6.6964	4.0253	1.0409	6.5333	255.47	0.24573	29.566	0.054605	supercritical
128.05	40.000	424.90	0.0023535	2.5333	11.947	4.0664	1.0735	8.3030	233.49	0.29650	27.296	0.053565	supercritical
128.77	40.000	392.05	0.0025507	8.8146	19.017	4.1214	1.1251	11.878	209.12	0.37112	24.467	0.053136	supercritical
129.48	40.000	342.26	0.0029218	18.077	29.764	4.2047	1.1943	18.298	186.51	0.48274	20.805	0.052826	supercritical
130.20	40.000	285.90	0.0034977	29.121	43.111	4.3075	1.1974	16.765	179.26	0.59914	17.448	0.047473	supercritical
130.92	40.000	250.03	0.0039995	36.994	52.992	4.3831	1.1483	11.233	181.30	0.67018	15.702	0.040699	supercritical
131.63	40.000	228.17	0.0043828	42.306	59.837	4.4353	1.1037	8.1919	184.32	0.71036	14.783	0.036152	supercritical
132.35	40.000	213.08	0.0046930	46.277	65.049	4.4748	1.0682	6.5021	187.20	0.73453	14.214	0.033082	supercritical
133.07	40.000	201.72	0.0049573	49.478	69.307	4.5069	1.0396	5.4547	189.86	0.74955	13.823	0.030874	supercritical
133.78	40.000	192.66	0.0051904	52.186	72.948	4.5342	1.0162	4.7470	192.30	0.75884	13.536	0.029202	supercritical
134.50	40.000	185.15	0.0054010	54.554	76.158	4.5581	0.99670	4.2379	194.58	0.76429	13.316	0.027888	supercritical
135.22	40.000	178.74	0.0055946	56.673	79.052	4.5796	0.98010	3.8541	196.71	0.76705	13.142	0.026826	supercritical
135.93	40.000	173.17	0.0057747	58.603	81.702	4.5991	0.96578	3.5542	198.73	0.76786	13.001	0.025949	supercritical
136.65	40.000	168.24	0.0059440	60.384	84.160	4.6171	0.95329	3.3133	200.64	0.76721	12.886	0.025214	supercritical
137.37	40.000	163.82	0.0061042	62.045	86.461	4.6339	0.94226	3.1153	202.47	0.76546	12.790	0.024588	supercritical
138.08	40.000	159.82	0.0062569	63.606	88.633	4.6497	0.93243	2.9496	204.22	0.76287	12.710	0.024050	supercritical
138.80	40.000	156.18	0.0064030	65.083	90.695	4.6646	0.92361	2.8087	205.91	0.75961	12.643	0.023585	supercritical
139.52	40.000	152.82	0.0065436	66.489	92.664	4.6788	0.91563	2.6874	207.54	0.75583	12.586	0.023178	supercritical
